id,timestamp,longitude,latitude,day
person_a,2021-05-12,-80.50607061628804,39.51268801917103,12
person_a,2021-05-12,-80.51427721330099,39.51698863588156,12
person_a,2021-05-12,-80.51546297092871,39.514489106497216,12
person_a,2021-05-12,-80.50897370461834,39.512220470213556,12
person_a,2021-05-12,-80.50561062060429,39.51444886765141,12
person_a,2021-05-12,-80.51153787079751,39.50645917827706,12
person_a,2021-05-12,-80.50038471603231,39.50723577311245,12
person_a,2021-05-12,-80.5063034052283,39.50456526461758,12
person_a,2021-05-12,-80.51038136197032,39.50587428092778,12
person_a,2021-05-12,-80.51215764963611,39.51261952247709,12
person_a,2021-05-12,-80.51313643967698,39.5018420987989,12
person_a,2021-05-12,-80.50541900585232,39.508674023453594,12
person_a,2021-05-12,-80.5112285551064,39.50861725526659,12
person_a,2021-05-12,-80.5188064420678,39.509873701953005,12
person_a,2021-05-12,-80.51203911489338,39.508516605805916,12
person_a,2021-05-12,-80.50524009188536,39.50624522445945,12
person_a,2021-05-12,-80.51635016539093,39.508527026139255,12
person_a,2021-05-12,-80.51649096487705,39.517867783262346,12
person_a,2021-05-12,-80.50936897252316,39.51888320036408,12
person_a,2021-05-12,-80.50936344825806,39.51003673351769,12
